block_group_id,ocean_proximity
1,NEAR BAY
2,NEAR BAY
3,NEAR BAY
4,NEAR BAY
5,NEAR BAY
6,NEAR BAY
7,NEAR BAY
8,NEAR BAY
9,NEAR BAY
10,NEAR BAY
11,NEAR BAY
12,NEAR BAY
13,NEAR BAY
14,NEAR BAY
15,NEAR BAY
16,NEAR BAY
17,NEAR BAY
18,NEAR BAY
19,NEAR BAY
20,NEAR BAY
21,NEAR BAY
22,NEAR BAY
23,NEAR BAY
24,NEAR BAY
25,NEAR BAY
26,NEAR BAY
27,NEAR BAY
28,NEAR BAY
29,NEAR BAY
30,NEAR BAY
31,NEAR BAY
32,NEAR BAY
33,NEAR BAY
34,NEAR BAY
35,NEAR BAY
36,NEAR BAY
37,NEAR BAY
38,NEAR BAY
39,NEAR BAY
40,NEAR BAY
41,NEAR BAY
42,NEAR BAY
43,NEAR BAY
44,NEAR BAY
45,NEAR BAY
46,NEAR BAY
47,NEAR BAY
48,NEAR BAY
49,NEAR BAY
50,NEAR BAY
51,NEAR BAY
52,NEAR BAY
53,NEAR BAY
54,NEAR BAY
55,NEAR BAY
56,NEAR BAY
57,NEAR BAY
58,NEAR BAY
59,NEAR BAY
60,NEAR BAY
61,NEAR BAY
62,NEAR BAY
63,NEAR BAY
64,NEAR BAY
65,NEAR BAY
66,NEAR BAY
67,NEAR BAY
68,NEAR BAY
69,NEAR BAY
70,NEAR BAY
71,NEAR BAY
72,NEAR BAY
73,NEAR BAY
74,NEAR BAY
75,NEAR BAY
76,NEAR BAY
77,NEAR BAY
78,NEAR BAY
79,NEAR BAY
80,NEAR BAY
81,NEAR BAY
82,NEAR BAY
83,NEAR BAY
84,NEAR BAY
85,NEAR BAY
86,NEAR BAY
87,NEAR BAY
88,NEAR BAY
89,NEAR BAY
90,NEAR BAY
91,NEAR BAY
92,NEAR BAY
93,NEAR BAY
94,NEAR BAY
95,NEAR BAY
96,NEAR BAY
97,NEAR BAY
98,NEAR BAY
99,NEAR BAY
100,NEAR BAY
101,NEAR BAY
102,NEAR BAY
103,NEAR BAY
104,NEAR BAY
105,NEAR BAY
106,NEAR BAY
107,NEAR BAY
108,NEAR BAY
109,NEAR BAY
110,NEAR BAY
111,NEAR BAY
112,NEAR BAY
113,NEAR BAY
114,NEAR BAY
115,NEAR BAY
116,NEAR BAY
117,NEAR BAY
118,NEAR BAY
119,NEAR BAY
120,NEAR BAY
121,NEAR BAY
122,NEAR BAY
123,NEAR BAY
124,NEAR BAY
125,NEAR BAY
126,NEAR BAY
127,NEAR BAY
128,NEAR BAY
129,NEAR BAY
130,NEAR BAY
131,NEAR BAY
132,NEAR BAY
133,NEAR BAY
134,NEAR BAY
135,NEAR BAY
136,NEAR BAY
137,NEAR BAY
138,NEAR BAY
139,NEAR BAY
140,NEAR BAY
141,NEAR BAY
142,NEAR BAY
143,NEAR BAY
